Comment,Designator,Footprint
4.7u,"C1,C2",GCM21BC7YA475KE36L 
100n,C3,GCM188R71H104JA57D
1u,"C4,C54,C57,C65,C68,C98,C100,C103",GCM155C71A105KE38D
100n,"C5,C13,C24,C36,C37,C38,C39,C40,C45,C46,C47,C48,C49,C55,C58,C76,C77,C78,C79,C88",GCM155R71C104KA55D
10n,C6,GCM155R71E103KA37D
10u,"C7,C8,C14,C15,C16,C17,C18,C19,C20,C21,C22,C23,C25,C26,C27,C28,C29,C30,C31,C32,C33,C34",GCM21BR71A106KE22K
1u,"C9,C10,C35",GCM188R71C105KA64D
2.2u,"C11,C12",GCM188R70J225KE22D
18p,"C41,C42",GCM1555C1H180FA16D
6.2p,"C43,C44",GCM1555C1H6R2BA16D
100p,"C56,C73,C113,C123",GCM1555C1H101FA16D
220n,"C59,C80,C81,C82,C83,C84,C85,C86",GCM155R71C224KE02D
470p,C60,GCM1555C1H471FA16D
12p,"C61,C64,C74,C75",GCM1885C2A120FA16D
18p,C62,GCM1885C2A180FA16D
6.2p,C63,GCM1885C2A6R2BA16D
1.2n,"C66,C67,C87,C101",GCM155R72A122KA37D
4.7n,C69,GCM155R71H472KA37D
82p,"C70,C89",GCM1555C1H820FA16D
27p,C71,GCM1885C2A270FA16D
2.2n,"C72,C104,C105",GCM155R71H222KA37D
6.8p,"C90,C92,C93",GCM1885C2A6R8BA16D
270p,C91,GCM1885C2A271FA16D
2.7p,C94,GCM1555C1H2R7WA16D
4.8p,"C95,C126",GCQ1555C1H4R2BB01D
270p,"C96,C97",GCM1555C1H271FA16D 
220p,"C99,C102",GCM1555C1H221FA16D
22p,"C115,C116",GCM1885C2A220FA16D
8.4p,"C125,C127",GCQ1555C1H8R4BB01D
3.3V/36V,D1,SMF3.3/SMF4L33A
30V,D4,EZAEG3A50AV
600@100M,"FB1,FB2,FB3,FB4,FB5,FB6",742792651
RBP-140+,FL1,RBP-140+
RBP-440+,FL2,RBP-440+
EXT,J5,LSEM-120-03.0-L-DV-A-N-K-TR
4.7u,L1,XAL4030-472MEC
15u,"L2,L3",CLF7045NIT-150M-D
390n,L4,0603DC-R39XJRW
82n,"L5,L16",0603DC-82NXJRW
47n,L6,0402DC-47NXGRW
68n,L7,0402DC-68NXGRW
220n,L8,0603DC-R22XJRW
150n,L9,0603DC-R15XJRW
15n,L10,0402DC-15NXJRW
10n,L11,0603DC-10NXJRW
7.5n,L12,0603DC-7N5XGRW
27n,L13,0603DC-27NXGRW
2.2n,L14,0402DC-2N2XJRW
44n,"L15,L26,L28",LQW18AN44NG80D
23n,L17,0402DC-23NXGRW
19n,"L18,L19,L21,L22",0402HP-19NXGRW
33n,L20,0402DC-33NXGRW
13n,L23,0402HP-13NXGRW
78n,L27,LQW18AN78NG80D
18n,"L32,L33",0603DC-18NXGRW
BC807,Q1,BC807-40-7-F
BSS215P,"Q2,Q4",BSS215PH6327XTSA1
BC817,"Q3,Q5", BC817-16-7-F 
0,"R3,R49",CRCW04020000Z0ED
22k,"R4,R6",CRCW040222K0FKED
100k,"R5,R7,R10,R11,R13,R14,R16,R17,R19,R20,R31,R32,R33,R45,R47,R48",CRCW0402100KFKED
10k,"R8,R27,R28",CRCW040210K0FKED
"24,9k",R9,CRCW040224K9FKED
47k,"R12,R15",CRCW040247K0FKED
1.15k,R18,CRCW04021K15FKED 
22,"R21,R22,R23,R24,R25,R26,R29,R30,R39,R40",CRCW040222R0FKED
220,"R34,R35,R36",CRCW0402220RFKED
49.9,R46,CRCW060349R9FKEA
10k,"R51,R52",CRCW060310K0FKEA
LM536013-Q1,U1,LM536013QDSXRQ1
MAX892L,"U2,U3",MAX892LEUA+T
TPS22950,U4,TPS22950CQDDCRQ1
STM32L451,U5,STM32L451RET6
ADT7420,U6,ADT7420UCPZ-RL7
FM24C64B,"U7,U8",FM24C16B-GTR
PCA9306DC1,U9,PCA9306TDCURQ1
Si4463,U11,SI4463-C2A-GMR
SKY65367,U12,SKY65367-11
ADF7030,U13,ADF7030-1BCPZN
SKY65377,U14,SKY65377-21
8M,X1, ABM8AIG-8.000MHZ-1Z-T 
32.768k,X2,ABS25-32.768KHZ-6-T
30M,X3,8.30E+11
26M,X4,7Z-26.000MBG-T
